"X","probA","probB","probC","payoffA","payoffB","payoffC","stimtype","exA","exB","exC","wingap","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","stimid"
106,0.78,0.8,0.83,26,23,12,4,20.28,18.4,9.96,1.88,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,106
1061,0.78,0.8,0.83,26,23,12,4,20.28,18.4,9.96,1.88,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3,2,2,1,3,2,106
120,0.59,0.9,0.45,12,10,23,3,7.08,9,10.35,1.35,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,2,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,2,3,120
1201,0.59,0.9,0.45,12,10,23,3,7.08,9,10.35,1.35,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,2,3,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,120
132,0.99,0.71,0.94,13,25,13,1,12.87,17.75,12.22,4.88,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,132
1321,0.99,0.71,0.94,13,25,13,1,12.87,17.75,12.22,4.88,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,132
133,0.34,0.56,0.65,14,27,16,1,4.76,15.12,10.4,4.72,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,133
1331,0.34,0.56,0.65,14,27,16,1,4.76,15.12,10.4,4.72,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,133
146,0.65,0.73,0.76,25,11,18,4,16.25,8.03,13.68,2.57,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146
1461,0.65,0.73,0.76,25,11,18,4,16.25,8.03,13.68,2.57,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,2,3,3,3,146
