modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,hilo,0.650000,0.730000,0.760000,25.000000,11.000000,18.000000,14.938293,1000000,16.250000,489585,2.570000,489585,0,510415,0,91908.312500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,21,79,242,785,2630,8607,27437,79531,193052,328285,286616,74876,345494,1547061,105275,0
model1.1,X,hilo,0.430000,0.500000,0.740000,28.000000,20.000000,12.000000,11.697309,1000000,12.040000,844527,2.207585,844527,132166,23307,0,55143.050781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,42,153,772,3701,17499,74548,268034,669706,934825,923456,107253,0,0
model1.1,X,hilo,0.710000,0.740000,0.860000,26.000000,20.000000,13.000000,18.212248,1000000,18.459999,934736,3.685153,934736,64804,460,0,223916.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,133,2499,42026,381218,621023,1119045,834048,0
model1.1,X,hilo,0.490000,0.450000,0.480000,10.000000,25.000000,16.000000,11.200835,994593,11.250000,979113,3.571318,6,979113,15474,0,1281.266113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,6,12,20,29,53,80,166,247,479,745,1188,1968,3347,5111,8314,12848,19940,29790,44147,63566,86361,112498,136631,151984,154278,154806,180626,261012,321553,240734,391695,578924,20612,0,0
model1.1,X,hilo,0.770000,0.840000,0.750000,16.000000,14.000000,19.000000,13.810974,1000000,14.250000,789408,2.085793,151895,58697,789408,0,138357.515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,381,13337,299800,1621990,1063891,590,0
model1.1,X,hilo,0.460000,0.510000,0.520000,28.000000,16.000000,14.000000,12.847235,998683,12.880000,995359,4.755222,995359,3191,133,0,2845.527832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,21,62,132,364,972,2553,6900,18164,45778,110442,241366,440114,587280,436569,133976,628864,342479,0,0
model1.1,X,hilo,0.820000,0.610000,0.790000,11.000000,29.000000,23.000000,17.890020,1000000,18.170000,400583,0.480068,1,599416,400583,0,84834.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,24,100,440,2477,11976,54024,194636,415710,296213,24384,678675,1321336,0
model1.1,X,hilo,0.380000,0.400000,0.640000,30.000000,21.000000,10.000000,11.283427,999998,11.400000,963079,3.032362,963079,36321,598,0,18377.279297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,15,17,46,106,236,502,1077,2193,4653,9747,19929,38400,71138,124753,193878,267473,332291,406686,414769,450062,632431,29584,0,0
model1.1,X,hilo,0.860000,0.610000,0.700000,14.000000,25.000000,21.000000,14.964911,1000000,15.250000,564909,0.653789,16960,564909,418131,0,197627.468750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,131,5164,142790,848228,1989073,14609,0
model1.1,X,hilo,0.230000,0.250000,0.260000,27.000000,27.000000,12.000000,6.724850,809692,6.750000,768881,0.557401,40581,768881,230,0,84.286354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,7,7,12,21,58,67,110,232,326,461,792,1120,1784,2522,3832,5305,6192,9084,13474,16972,21840,27999,35736,42828,50632,57969,67514,72203,74696,75892,73298,70912,71048,84833,119816,186056,280737,358426,342193,199188,49851,3020,6,0,0,0
