"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.46,0.51,0.52,28,16,14,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-15.2964920464771,5.09130446111241,24.0990855290118,"<","<","<",">",">",">"
0.29,0.43,0.76,28,24,10,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,8.6184933549443,9.06311598047901,6.43201225952789,"<","<","<",">",">",">"
0.29,0.43,0.76,28,24,10,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,-2.22744478700545,3.21587535455043,-14.9004713121769,"<","<","<","<",">",">"
0.13,0.27,0.68,18,20,10,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,1.40171863599022,5.95749311657223,7.03815798406909,"=","<","<","<",">",">"
0.13,0.27,0.68,18,20,10,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-20.2821959683336,-13.8286358211195,-4.91987729256941,"<","<","<","=",">",">"
0.43,0.5,0.74,28,20,12,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,11.3936492967642,9.68926496277006,7.7266588378431,"<","<","<",">",">",">"
0.43,0.5,0.74,28,20,12,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,11.1887300960863,-0.900715148678753,22.3081416696807,"<","<","<",">",">",">"
0.52,0.6,0.71,24,20,15,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,10.4321239270063,11.8825271221053,11.4212681418946,"<","<","<",">",">",">"
0.52,0.6,0.71,24,20,15,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,36.883043508734,26.2817190902015,-17.6477925585023,"=","<","<",">",">",">"
0.39,0.43,0.3,19,13,10,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,8.27614476255291,5.83077420413887,1.8818647042129,"=",">",">",">",">",">"
0.39,0.43,0.3,19,13,10,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,-8.81371446159192,12.7143638906177,-9.28645014465004,"<",">",">",">",">",">"
0.036,0.48,0.66,29,17,15,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-0.298305598375104,6.20256357580596,9.10813184303041,"<",">","<",">",">",">"
0.036,0.48,0.66,29,17,15,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-4.45376070555663,15.9647784623813,4.76309154035377,"<","<","<",">",">","="
0.091,0.23,0.49,24,15,12,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,3.48613476085312,2.58575432863815,5.00010081622152,"<","=","<",">",">",">"
0.091,0.23,0.49,24,15,12,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,37.508308751603,-17.7712297984217,24.6802341246724,"<","<","<",">",">",">"
0.49,0.52,0.053,27,21,15,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,13.054770662268,11.6249239471208,1.16854200988228,"<",">",">",">",">",">"
0.49,0.52,0.053,27,21,15,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,28.4012593584559,22.8450590506562,13.6535140122882,"<",">",">",">",">",">"
0.38,0.59,0.9,26,23,12,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,10.8234665012082,12.3623642662382,12.4102580257758,"<","<","<","<",">",">"
0.38,0.59,0.9,26,23,12,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,5.04696756209807,28.219633586888,4.87661273349792,"<","<","<","<",">",">"
0.27,0.36,1,24,26,13,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,6.31595158107781,7.58672076739289,13.6509189559036,"<","<","<","<",">",">"
0.27,0.36,1,24,26,13,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,-15.7539192616284,37.605751347487,-14.7872426168811,"<","<","<","<",">",">"
0.44,0.67,0.71,24,23,11,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,10.1515221579639,15.3681624063443,8.69215049261024,"<","<","<","=",">",">"
0.44,0.67,0.71,24,23,11,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,17.5130257916818,9.9718991173533,18.2389703625635,"<","<","<","=",">",">"
0.21,0.74,0.028,27,12,19,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,6.11936778446876,6.94209812660669,0.224630678383959,"<",">","=",">",">","<"
0.21,0.74,0.028,27,12,19,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,-0.652637908301942,7.88410597332431,-0.528216366184978,"<","<",">",">",">","="
0.082,0.3,0.62,18,14,12,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,1.25833609554806,3.84263853043049,7.85396461841184,"<","<","<",">",">",">"
0.082,0.3,0.62,18,14,12,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,37.1095061911046,12.6048907293423,3.09214602523156,"<","<","<",">",">",">"
0.61,0.19,0.5,20,20,27,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,12.3007065607376,2.84846785432251,13.1213658412996,">",">","<","=","<","<"
0.61,0.19,0.5,20,20,27,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,4.16968257247117,6.82349051860184,17.8101029027376,">",">","<","=","<","<"
0.8,0.87,0.22,17,10,18,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,14.1587214303273,8.72522478662395,5.13676405914053,"<",">",">",">","=","<"
0.8,0.87,0.22,17,10,18,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,2.74716756055626,8.64747303488474,-2.54678297202479,"=",">",">",">","=","<"
