"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20"
0.57,0.45,0.21,21,13,23,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.49,0.79,0.53,19,12,21,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,3,3,3,3,2,3,3,1,3,3,3,2,2,3,3,2,3,3
0.49,0.79,0.53,19,12,21,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,2,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3
0.078,0.5,0.028,23,19,21,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2
0.078,0.5,0.028,23,19,21,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1
0.025,0.86,0.33,22,17,27,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2
0.025,0.86,0.33,22,17,27,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
0.22,0.73,0.53,29,19,20,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2
0.22,0.73,0.53,29,19,20,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2
0.64,0.92,0.69,23,15,23,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,2,2,2
0.64,0.92,0.69,23,15,23,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,3,3,2,2,3,3,2,3,3,1,3,3,3,3,2,3,3,3,2
0.93,0.17,0.29,20,27,30,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
