"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"134","0",46,0.46,0.24,0.26,16,25,24,"C",0.35,TRUE
"135","0",50,0.7,0.84,0.02,29,18,17,"C",0,TRUE
"136","1",1,0.94,0.18,0.089,19,22,20,"C",0,TRUE
"137","1",4,0.96,0.99,0.43,29,22,12,"C",0,TRUE
"138","1",6,0.86,0.16,0.36,13,18,19,"C",0.5,TRUE
"139","1",10,0.62,0.76,0.26,19,13,10,"C",0,TRUE
"140","1",11,0.65,0.76,0.07,22,13,28,"C",0,TRUE
"141","1",13,0.74,0.85,0.12,26,13,11,"C",0,TRUE
"142","1",14,0.09,0.8,0.12,15,11,16,"C",0.55,TRUE
"143","1",17,0.7,0.49,0.92,28,15,16,"C",0.4,TRUE
"144","1",19,0.7,0.51,0.9,30,17,21,"C",0.4,TRUE
"145","1",20,0.099,0.78,0.9,13,14,12,"C",0.45,TRUE
"146","1",21,0.8,0.89,0.9,27,12,13,"C",0.55,TRUE
"147","1",23,0.5,0.61,0.19,27,20,20,"C",0,TRUE
"148","1",27,0.89,0.54,0.27,15,18,14,"C",0,TRUE
"149","1",28,0.32,0.46,0.6,23,17,14,"C",0.3,TRUE
"150","1",30,0.33,0.0086,0.79,17,17,13,"C",0.4,TRUE
"151","1",32,0.94,0.29,0.076,22,28,27,"C",0,TRUE
"152","1",33,0.7,0.86,0.61,21,14,25,"C",0.25,TRUE
"153","1",34,0.94,0.28,0.17,13,23,25,"C",0.1,TRUE
"154","1",36,0.42,0.56,0.4,27,23,30,"C",0.1,TRUE
"155","1",38,0.37,0.7,0.4,24,17,23,"C",0.6,TRUE
"156","1",39,0.0048,0.53,0.38,24,23,29,"C",0.6,TRUE
"157","1",40,0.59,0.53,0.4,11,23,27,"C",0.3,TRUE
"158","1",41,0.23,0.26,0.25,27,12,27,"C",0.7,TRUE
"159","1",42,0.69,0.17,0.25,17,26,23,"C",0.45,TRUE
"160","1",43,0.37,0.26,0.25,11,17,19,"C",0,TRUE
"161","1",46,0.46,0.24,0.26,16,25,24,"C",0.65,TRUE
"162","1",50,0.7,0.84,0.02,29,18,17,"C",0,TRUE
