"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.73,0.25,0.03,17,30,25,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,12.7142330479484,9.14864490736884,-0.94202462174473,">","=",">","<","<",">"
0.73,0.25,0.03,17,30,25,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,36.9199159754562,11.901267849132,15.0308987205577,">","=",">","<","<",">"
0.73,0.47,0.41,24,27,26,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,17.4241922492587,12.8602870992726,10.6991656469411,">",">",">","<","<","="
0.73,0.47,0.41,24,27,26,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,39.1615121633047,32.7506285051571,10.1243324302609,">",">",">","<","<","="
0.73,0.13,0.58,22,21,30,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,16.0459761378901,1.05083736340656,16.4763366062248,">",">","<","=","<","<"
0.73,0.13,0.58,22,21,30,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,45.0558687176808,33.5874984414575,23.7567090619088,"<",">",">","=","=","<"
0.056,0.75,0.37,13,14,22,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,0.486603821204834,12.0004853058783,7.07632489566849,"<","<",">","=","<","<"
0.056,0.75,0.37,13,14,22,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,0.772721347449532,34.8235908324856,13.034263043304,"<","<",">","=","<","<"
0.65,0.73,0.76,25,11,18,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,16.8642985179076,8.0910842909705,11.7890064863052,"<","<","<",">",">","<"
0.65,0.73,0.76,25,11,18,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-5.16564943939826,-13.0876335281703,8.19335150513931,"<","<","<",">",">","<"
0.55,0.55,0.58,26,12,14,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,14.6763425451499,6.64448316807531,8.37703288805547,"=","<","<",">",">","<"
0.55,0.55,0.58,26,12,14,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,9.0310834400141,-16.3095940332114,-0.153787917099455,"=","<","<","<",">","<"
0.028,0.5,0.97,17,20,18,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,1.60315475167062,8.94228046438148,15.4842057680514,"<","<",">","<","=",">"
0.028,0.5,0.97,17,20,18,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,1.90118891447312,-11.9327493496408,7.74011743909929,"<","<","<","<","=",">"
0.5,0.43,0.74,20,28,12,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,11.4389765443388,10.9407493048106,8.58439291942761,">","<","<","<",">","="
0.5,0.43,0.74,20,28,12,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,22.191782943354,21.2659645460517,27.672878351328,">","<","<","<",">",">"
